#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  14
# Band-Index:    1
   0.00000    -56.994631  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.06296    -56.994266  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.12592    -56.993175  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.18887    -56.991399  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.25183    -56.988993  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.31479    -56.986002  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.37775    -56.982512  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.44070    -56.978622  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.50366    -56.974425  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   0.56662    -56.970050  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.62958    -56.965613  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.69253    -56.961250  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.75549    -56.957048  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.81845    -56.953135  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.88141    -56.949620  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.94436    -56.946586  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.00732    -56.944145  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.07028    -56.942349  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.13324    -56.941251  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.19619    -56.940901  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.19619    -56.940901  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.23254    -56.940855  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.26889    -56.940730  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.30524    -56.940528  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.34159    -56.940254  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.37794    -56.939913  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.41429    -56.939515  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.45063    -56.939071  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.48698    -56.938570  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.52333    -56.938045  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.55968    -56.937501  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.59603    -56.936946  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.63238    -56.936404  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.66873    -56.935898  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.70507    -56.935426  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.74142    -56.934998  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.77777    -56.934646  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.81412    -56.934377  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.85047    -56.934198  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.88682    -56.934124  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.88682    -56.934124  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   1.95951    -56.934402  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   2.03221    -56.935248  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   2.10491    -56.936714  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   2.17761    -56.938854  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   2.25030    -56.941664  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   2.32300    -56.945117  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.39570    -56.949151  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.46839    -56.953688  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.54109    -56.958577  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.61379    -56.963706  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.68649    -56.968911  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.75918    -56.974032  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   2.83188    -56.978886  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   2.90458    -56.983331  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   2.97727    -56.987205  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.04997    -56.990356  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.12267    -56.992700  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.19537    -56.994145  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.26806    -56.994631  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.26806    -56.994631  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.31933    -56.994529  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.37060    -56.994228  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.42187    -56.993727  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.47314    -56.993076  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.52442    -56.992269  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.57569    -56.991308  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.62696    -56.990235  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.67823    -56.989080  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.72950    -56.987866  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.78077    -56.986655  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.83204    -56.985450  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.88331    -56.984314  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.93458    -56.983239  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   3.98585    -56.982264  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   4.03712    -56.981436  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   4.08839    -56.980775  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   4.13966    -56.980265  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   4.19093    -56.979964  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   4.24220    -56.979853  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   4.24220    -56.979853  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   4.30516    -56.979492  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   4.36812    -56.978439  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   4.43107    -56.976688  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   4.49403    -56.974307  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.55699    -56.971360  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.61995    -56.967918  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.68290    -56.964076  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.74586    -56.959940  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.80882    -56.955634  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.87178    -56.951260  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.93473    -56.946936  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.99769    -56.942790  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.06065    -56.938931  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.12361    -56.935470  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.18657    -56.932499  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.24952    -56.930101  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.31248    -56.928322  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.37544    -56.927242  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.43840    -56.926890  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.43840    -56.926890  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.47474    -56.926835  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.51109    -56.926717  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.54744    -56.926521  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.58379    -56.926252  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.62014    -56.925909  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.65649    -56.925501  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.69284    -56.925054  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.72918    -56.924579  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.76553    -56.924068  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.80188    -56.923540  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.83823    -56.923014  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.87458    -56.922485  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.91093    -56.921979  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.94728    -56.921513  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   5.98362    -56.921106  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.01997    -56.920761  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.05632    -56.920504  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.09267    -56.920344  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.12902    -56.920286  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.12902    -56.920286  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.20172    -56.920533  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.27441    -56.921349  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.34711    -56.922793  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.41981    -56.924899  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.49250    -56.927670  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.56520    -56.931074  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.63790    -56.935047  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.71060    -56.939497  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.78329    -56.944327  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
   6.85599    -56.949378  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   6.92869    -56.954517  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   7.00138    -56.959569  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   7.07408    -56.964368  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   7.14678    -56.968740  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   7.21948    -56.972551  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   7.29217    -56.975670  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   7.36487    -56.977966  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   7.43757    -56.979380  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   7.51026    -56.979853  0.993  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.993
   7.51026    -56.926890  0.995  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.995
